,mileage,make,model,fuel,gear,price,hp,year
0,235000,8,33,2,1,6800,116.0,2011
1,92800,69,394,1,1,6877,122.0,2011
2,149300,62,322,1,1,6900,160.0,2011
3,96200,60,506,1,1,6950,110.0,2011
4,156000,55,32,1,1,6950,156.0,2011
5,147000,68,134,3,2,6950,99.0,2011
6,91894,60,673,2,1,6970,131.0,2011
7,127500,53,813,1,1,6972,116.0,2011
8,115000,46,26,1,2,6980,150.0,2011
9,104,28,735,2,1,6990,86.0,2011
10,59580,53,507,2,2,6990,101.0,2011
11,84000,69,394,1,1,6990,105.0,2011
12,427000,48,299,2,2,6990,204.0,2011
13,109000,14,546,1,1,6990,141.0,2011
14,194020,7,104,2,1,6999,120.0,2011
15,72000,69,561,1,1,6999,60.0,2011
16,190000,60,320,2,1,6999,150.0,2011
17,190000,60,408,2,1,6999,150.0,2011
18,85700,27,676,2,1,6999,135.0,2011
19,82000,53,274,1,1,7000,101.0,2011
20,44800,36,559,1,2,7850,86.0,2012
21,81970,69,394,1,1,7850,105.0,2012
22,24000,21,296,1,1,7900,105.0,2012
23,193333,69,277,2,1,7900,105.0,2012
24,113000,69,157,1,1,7900,105.0,2012
25,117000,69,395,1,1,7949,105.0,2012
26,299900,8,4,2,1,7950,143.0,2012
27,104250,53,132,1,1,7950,140.0,2012
28,151250,55,32,2,1,7950,163.0,2012
29,133500,8,4,2,1,7980,143.0,2012
30,105000,53,132,1,1,7980,179.0,2012
31,114164,28,337,1,1,7990,125.0,2012
32,128000,43,544,2,1,7990,90.0,2012
33,150000,8,4,2,1,7999,143.0,2012
34,160000,43,249,1,1,7999,122.0,2012
35,165000,48,145,2,1,8000,109.0,2012
36,51200,60,673,1,1,8000,131.0,2012
37,107000,53,432,2,1,8000,160.0,2012
38,130000,43,538,1,1,8000,98.0,2012
39,214000,8,35,2,2,8199,184.0,2012
40,73760,53,813,1,1,8990,140.0,2013
41,113000,69,157,1,1,8990,160.0,2013
42,108803,30,832,2,1,8990,116.0,2013
43,7400,53,116,1,1,8990,101.0,2013
44,239211,8,62,2,2,8990,184.0,2013
45,86980,28,149,1,1,8995,120.0,2013
46,98000,69,400,2,2,8999,105.0,2013
47,98988,28,735,2,1,8999,101.0,2013
48,41124,53,116,1,1,8999,101.0,2013
49,170000,69,728,2,1,8999,140.0,2013
50,240000,36,545,1,2,9000,150.0,2013
51,80500,8,2,1,1,9000,102.0,2013
52,195327,28,386,2,1,9000,140.0,2013
53,143316,69,728,1,2,9000,140.0,2013
54,98100,62,473,1,1,9100,122.0,2013
55,113000,7,101,1,1,9100,86.0,2013
56,94000,69,400,2,1,9200,105.0,2013
57,68700,14,742,1,1,9290,140.0,2013
58,169500,68,765,2,1,9300,126.0,2013
59,77000,69,398,1,2,9300,122.0,2013
60,45600,28,333,1,1,8990,80.0,2014
61,230000,53,772,2,1,8990,140.0,2014
62,99756,69,561,1,1,8990,105.0,2014
63,84600,68,806,3,2,8990,143.0,2014
64,73000,30,831,1,1,8990,125.0,2014
65,133180,69,400,2,1,8990,105.0,2014
66,22700,69,833,1,1,8990,60.0,2014
67,53000,63,610,1,1,8999,105.0,2014
68,149786,8,3,1,1,8999,136.0,2014
69,197500,69,556,2,1,8999,140.0,2014
70,57000,36,230,1,1,9000,99.0,2014
71,53286,63,332,1,1,9100,86.0,2014
72,84721,68,806,1,2,9200,101.0,2014
73,111000,7,101,1,1,9200,122.0,2014
74,87500,62,428,2,1,9290,105.0,2014
75,55000,63,610,1,1,9300,105.0,2014
76,77000,69,561,1,1,9300,90.0,2014
77,166000,69,400,2,2,9400,105.0,2014
78,55000,28,176,1,1,9450,101.0,2014
79,140000,69,400,2,2,9990,110.0,2015
80,160000,28,337,2,2,9999,120.0,2015
81,240000,7,104,2,1,9999,190.0,2015
82,28238,53,507,1,1,10190,140.0,2015
83,114327,53,432,2,2,10200,131.0,2015
84,352000,55,162,2,1,10298,150.0,2015
85,80575,69,561,2,1,10299,105.0,2015
86,79987,28,149,1,2,10444,105.0,2015
87,166554,63,691,2,1,10490,170.0,2015
88,47295,28,176,1,1,10490,101.0,2015
89,90000,53,432,2,1,10499,170.0,2015
90,76800,16,186,1,1,10580,110.0,2015
91,60000,55,16,1,1,10750,110.0,2015
92,9500,30,831,1,1,10750,125.0,2015
93,248000,31,585,2,2,10900,170.0,2015
94,118000,69,394,2,1,10950,150.0,2015
95,87000,69,394,1,1,10950,110.0,2015
96,137000,8,33,2,1,10950,116.0,2015
97,29000,66,694,1,1,8990,94.0,2016
98,198000,69,556,2,1,8999,120.0,2016
99,192000,64,460,2,1,8999,178.0,2016
100,15000,21,670,1,1,9000,90.0,2016
101,57800,46,12,1,1,9250,90.0,2016
102,86900,28,149,1,1,9380,101.0,2016
103,56617,69,833,1,1,9440,90.0,2016
104,70604,68,806,1,1,9490,69.0,2016
105,68656,68,806,1,1,9490,69.0,2016
106,64783,68,806,1,1,9490,69.0,2016
107,146148,53,132,2,1,9495,136.0,2016
108,106300,53,132,2,1,9499,160.0,2016
109,179200,69,556,2,1,9499,120.0,2016
110,63000,53,116,1,1,9500,87.0,2016
111,154494,55,32,2,1,9500,120.0,2016
112,72500,66,694,1,1,9650,136.0,2016
113,93300,53,132,2,1,9680,110.0,2016
114,96999,53,132,2,1,9690,136.0,2016
115,39990,36,230,1,1,9690,101.0,2016
116,66106,7,104,1,2,20990,150.0,2017
117,68000,36,681,2,2,27928,200.0,2017
118,67000,48,361,2,2,34900,170.0,2017
119,55000,7,107,1,2,34905,252.0,2017
120,32100,48,302,1,2,37931,333.0,2017
121,74000,72,822,1,1,5555,71.0,2017
122,31500,62,509,1,1,5780,60.0,2017
123,62490,62,509,1,1,6390,60.0,2017
124,100870,69,833,1,1,6445,60.0,2017
125,35450,63,238,1,1,6445,60.0,2017
126,65635,69,833,1,1,6490,60.0,2017
127,83000,68,143,1,1,6500,69.0,2017
128,35000,21,670,1,1,6700,90.0,2017
